Airline,Departure,Arrival,Cost
AS,ADQ,ANC,0.0
AS,AKN,ANC,0.0
AS,ANC,ADQ,0.0
AS,ANC,AKN,0.0
AS,ANC,BET,4068.633333333333
AS,ANC,CDV,0.0
AS,ANC,FAI,0.0
AS,ANC,JNU,0.0
AS,ANC,LAX,0.0
AS,ANC,OME,0.0
AS,ANC,OTZ,0.0
AS,ANC,PDX,0.0
AS,ANC,SCC,0.0
AS,ANC,SEA,0.0
AS,ATL,SEA,0.0
AS,AUS,SEA,0.0
AS,BET,ANC,4246.789937106918
AS,BLI,HNL,0.0
AS,BLI,SEA,0.0
AS,BOS,SAN,0.0
AS,BOS,SEA,0.0
AS,BRW,ANC,0.0
AS,BRW,FAI,0.0
AS,BRW,SCC,0.0
AS,BUR,SEA,0.0
AS,BWI,SEA,0.0
AS,CDV,ANC,0.0
AS,CDV,YAK,0.0
AS,DCA,PDX,0.0
AS,DEN,SEA,0.0
AS,DFW,PDX,0.0
AS,DFW,SEA,0.0
AS,DTW,SEA,0.0
AS,EWR,SEA,0.0
AS,FAI,ANC,0.0
AS,FAI,SEA,0.0
AS,FLL,SEA,0.0
AS,GEG,SEA,4171.819696969697
AS,GST,JNU,3587.3653846153848
AS,HNL,OAK,0.0
AS,HNL,SAN,0.0
AS,HNL,SEA,0.0
AS,HNL,SJC,0.0
AS,IAD,SEA,0.0
AS,IAH,SEA,0.0
AS,JFK,SEA,12001.18888888889
AS,JNU,ANC,0.0
AS,JNU,GST,3915.1
AS,JNU,KTN,0.0
AS,JNU,PSG,0.0
AS,JNU,SEA,0.0
AS,JNU,SIT,0.0
AS,JNU,YAK,0.0
AS,KOA,SJC,0.0
AS,KTN,JNU,0.0
AS,KTN,SEA,0.0
AS,KTN,SIT,0.0
AS,KTN,WRG,0.0
AS,LAS,BLI,0.0
AS,LAS,PDX,0.0
AS,LAS,SEA,0.0
AS,LAX,ANC,0.0
AS,LAX,BWI,0.0
AS,LAX,DCA,0.0
AS,LAX,PDX,0.0
AS,LAX,SEA,0.0
AS,LAX,SLC,0.0
AS,LIH,OAK,0.0
AS,LIH,SEA,0.0
AS,LIH,SJC,0.0
AS,MCI,SEA,0.0
AS,MCO,SAN,0.0
AS,MCO,SEA,0.0
AS,MSP,SEA,0.0
AS,MSY,SEA,0.0
AS,OAK,HNL,0.0
AS,OAK,SEA,3715.5066666666667
AS,OGG,ANC,0.0
AS,OGG,PDX,0.0
AS,OGG,SAN,0.0
AS,OGG,SEA,0.0
AS,OGG,SJC,0.0
AS,OME,ANC,0.0
AS,OME,OTZ,0.0
AS,ONT,SEA,0.0
AS,ORD,ANC,0.0
AS,ORD,PDX,0.0
AS,ORD,SEA,0.0
AS,OTZ,ANC,0.0
AS,OTZ,OME,0.0
AS,PDX,BOS,0.0
AS,PDX,DFW,0.0
AS,PDX,LAS,0.0
AS,PDX,LAX,0.0
AS,PDX,PHX,0.0
AS,PDX,PSP,0.0
AS,PDX,SAN,0.0
AS,PDX,SFO,0.0
AS,PDX,SJC,0.0
AS,PDX,SNA,0.0
AS,PHL,SEA,0.0
AS,PHX,PDX,0.0
AS,PHX,SEA,0.0
AS,PSG,JNU,0.0
AS,PSG,WRG,0.0
AS,PSP,PDX,0.0
AS,PSP,SEA,0.0
AS,PSP,SFO,0.0
AS,SAN,PDX,0.0
AS,SAN,SEA,0.0
AS,SAT,SEA,0.0
AS,SCC,BRW,0.0
AS,SEA,ANC,0.0
AS,SEA,ATL,0.0
AS,SEA,AUS,0.0
AS,SEA,BLI,0.0
AS,SEA,BOS,0.0
AS,SEA,BUR,0.0
AS,SEA,DCA,0.0
AS,SEA,DEN,0.0
AS,SEA,DFW,0.0
AS,SEA,DTW,0.0
AS,SEA,EWR,3170.6081761006294
AS,SEA,FAI,0.0
AS,SEA,FLL,0.0
AS,SEA,GEG,0.0
AS,SEA,HNL,0.0
AS,SEA,IAD,0.0
AS,SEA,IAH,0.0
AS,SEA,JNU,0.0
AS,SEA,KOA,0.0
AS,SEA,KTN,0.0
AS,SEA,LAS,0.0
AS,SEA,LAX,0.0
AS,SEA,LIH,0.0
AS,SEA,MCI,0.0
AS,SEA,MCO,0.0
AS,SEA,MSP,2894.48087431694
AS,SEA,MSY,0.0
AS,SEA,OAK,0.0
AS,SEA,OGG,0.0
AS,SEA,ONT,0.0
AS,SEA,ORD,0.0
AS,SEA,PDX,0.0
AS,SEA,PHL,0.0
AS,SEA,PHX,0.0
AS,SEA,PSP,0.0
AS,SEA,SAN,0.0
AS,SEA,SAT,2299.1616666666664
AS,SEA,SFO,0.0
AS,SEA,SIT,0.0
AS,SEA,SJC,0.0
AS,SEA,SLC,0.0
AS,SEA,SMF,0.0
AS,SEA,SNA,0.0
AS,SEA,STL,0.0
AS,SEA,TUS,0.0
AS,SFO,PDX,0.0
AS,SFO,PSP,0.0
AS,SFO,SEA,0.0
AS,SFO,SLC,0.0
AS,SIT,JNU,0.0
AS,SIT,KTN,0.0
AS,SIT,SEA,0.0
AS,SJC,PDX,0.0
AS,SJC,SEA,0.0
AS,SLC,PDX,0.0
AS,SLC,SEA,0.0
AS,SMF,OGG,0.0
AS,SMF,SEA,0.0
AS,SNA,PDX,0.0
AS,SNA,SEA,0.0
AS,STL,SEA,0.0
AS,TPA,SEA,0.0
AS,WRG,KTN,0.0
AS,WRG,PSG,0.0
AS,YAK,CDV,0.0
AS,YAK,JNU,0.0
